title,image_url,amazon url,release date,developer,publisher,platforms,genres,rating,description
Persona 5 ,https://static-cdn.jtvnw.net/ttv-boxart/Persona%205-285x380.jpg,https://www.amazon.com/Persona-5-Standard-PlayStation-4/dp/B01GKHJP98/ref=sr_1_1?ie=UTF8&qid=1516869099&sr=8-1&keywords=Persona+5,Apr 4@ 2017,Atlus,Atlus,PlayStation 4 PlayStation 3,Role-Playing Japanese-Style,M,"Beneath the veneer of typical urban high school life@ a group of teenagers mask their mysterious alter egos@ their ""phantom thief"" side. Assume the role of a second-year high school student who becomes a Persona-user through an unexpected incident. Having moved to Tokyo just before the start of the school year@ he finds residence at a cafe run by his parents' friend@ and is about to get his first taste of school life in the big city. The protagonist seems quiet and well-mannered at first glance@ but gives a completely different impression once he has donned his ""phantom thief"" guise. While attending Shujin High School@ the protagonist will encounter a number of individuals@ each with his or her own distinctive personality and charm. School life in the city is full of surprises and interesting events! It will most definitely be a fun year for the protagonist@ living as an ordinary student. However@ he and his friends become involved in an incident which leads to the awakening of their Personas. No one would ever suspect that these adolescents will eventually shake the world... [Atlus]"
Friday the 13th: The Game ,https://static-cdn.jtvnw.net/ttv-boxart/Friday%20the%2013th:%20The%20Game-285x380.jpg,https://www.amazon.com/Friday-13th-Game-PlayStation-4/dp/B074FF955H/ref=sr_1_1?ie=UTF8&qid=1516869110&sr=8-1&keywords=Friday+the+13th%3A+The+Game,May 26@ 2017,IllFonic, Gun Media,PlayStation 4 PC Xbox One,Action-Adventure Survival,M,"Friday the 13th: The Game is a third-person horror, survival game in which players assume the role of a teen counselor, or for the first time ever, Jason Voorhees. You and six other unlucky souls will do everything possible to escape and survive while the most well-known killer in the world tracks you down and brutally slaughters you. Friday the 13th: The Game will strive to give every single player the tools to survive, escape or even try to take down the man who cannot be killed. Each and every gameplay session will give you an entirely new chance to prove if you have what it takes not only to survive, but to best the most prolific killer in cinema history, a slasher with more kills than any of his rivals. Take control of the legendary killer that is Jason Voorhees and terrify those unfortunate enough to cross your path."
Euro Truck Simulator 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Euro%20Truck%20Simulator%202-285x380.jpg,https://www.amazon.com/Euro-Truck-Simulator-2-PC/dp/B006NU6F28/ref=sr_1_1?ie=UTF8&qid=1516869123&sr=8-1&keywords=Euro+Truck+Simulator+2,Jan 16@ 2013,SCS Software,SCS Software,PC,Simulation General General Vehicle Civilian,E,Travel across Europe as king of the road@ a trucker who delivers important cargo across impressive distances! With dozens of cities to explore from the UK@ Belgium@ Germany@ Italy@ the Netherlands@ Poland@ and many more@ your endurance@ skill and speed will all be pushed to their limits. If you've got what it takes to be part of an elite trucking force@ get behind the wheel and prove it!
StarCraft ,https://static-cdn.jtvnw.net/ttv-boxart/StarCraft-285x380.jpg,https://www.amazon.com/Starcraft-Brood-War-Expansion-Pack-pc/dp/B00005JHDQ,Aug 14@ 2017,Blizzard Entertainment,Blizzard Entertainment,PC,Strategy Real-Time Command,M,"In the distant future a small group of human exiles have been doomed to fight for survival on the edge of the galaxy. Through military strength, espionage and deceit, a unified Terran government has maintained an uneasy peace. As resources run short, however, these Confederate nations find themselves looking towards the rich worlds of their alien neighbors, the enigmatic Protoss. To further complicate matters, it seems that a previously unknown and deadly species known only as the Zerg has entered Protoss space and is destroying everything in its path. The time for war has come... As the military leader for your species, you must gather the resources you need to train and expand your forces and lead them to victory."
EverQuest ,https://static-cdn.jtvnw.net/ttv-boxart/EverQuest-285x380.jpg,https://www.amazon.com/EverQuest-Anniversary-Collectors-Rusel-DeMaria/dp/0744010683/ref=sr_1_2?ie=UTF8&qid=1516869149&sr=8-2&keywords=EverQuest,Mar 16@ 1999,Sony Online Entertainment,Sony Online Entertainment,PC,Role-Playing Massively-Multiplayer Fantasy Fantasy,T,Prepare to enter an enormous virtual environment-an entire world with its own diverse species@ economic systems@ alliances@ and politics. Choose from a variety of races and classes@ customize your character@ and begin your quest in any number of cities of villages throughout multiple continents. Equip yourself for adventure@ seek allies and knowledge@ and experience a rich world of dungeons@ towers@ crypts@ evil abbeys-anything is possible-even planes and realities beyond your imagination. Meet new friends from around the world to face epic challenges. Make yourself a noble human knight@ a vicious dark elf thief@ a greedy dwarven merchant@ or whatever suits your desire. [Sony Online Entertainment]
DayZ ,https://static-cdn.jtvnw.net/ttv-boxart/DayZ-285x380.jpg,https://www.amazon.com/DayZ-Novel-Cherno-Journo-ebook/dp/B00DUDWMI2/ref=sr_1_2?ie=UTF8&qid=1516869164&sr=8-2&keywords=DayZ,TBA - Early Access,Dean 'Rocket' Hall,Bohemia Interactive,PC,Shooter Sci-Fi Action-Shooter First-Person Sci-Fi Arcade,M,Welcome to the world of DayZ@ hit by a new and presently unknown infection which has wiped out most of the world's population. You are one of the few that have survived and now you must search this new wasteland in order to fight for your life against what is left of the indigenous population now infected with the disease. Go solo@ team up with friends or take on the world@ as you choose your path in this brutal and chilling landscape using whatever means you stumble upon to survive.
Hollow Knight ,https://static-cdn.jtvnw.net/ttv-boxart/Hollow%20Knight-285x380.jpg,https://www.amazon.com/Shovel-Knight-PlayStation-4/dp/B00VFVIOBU/ref=sr_1_3?s=videogames&ie=UTF8&qid=1517027969&sr=1-3&keywords=shovel+knight,Feb 24@ 2017,Team Cherry,Team Cherry,PC,Action-Adventure General,E,Hollow Knight is a 2D action-adventure game with an emphasis on traditional 2D animation and skillful gameplay. Journey to Hallownest@ a vast and ancient underground kingdom inhabited by a bizarre collection of insects and monsters. Players will forge their own path as they explore ruined cities@ forests of fungus@ temples of bone and other fantastic lands@ all on their way to uncovering an ancient mystery.
Outlast 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Outlast%202-285x380.jpg,https://www.amazon.com/Secret-Unscented-Invisible-Antiperspirant-Deodorant/dp/B01LTI08ZI/ref=sr_1_1_sspa?ie=UTF8&qid=1516869187&sr=8-1-spons&keywords=Outlast%2B2&th=1,Apr 25@ 2017,Red Barrels,Red Barrels,PC PlayStation 4 Xbox One,Action-Adventure Survival,T,Outlast 2 introduces you to Sullivan Knoth and his followers@ who left our wicked world behind to give birth to Temple Gate@ a town@ deep in the wilderness and hidden from civilization. Knoth and his flock are preparing for the tribulations of the end of times and you're right in the thick of it.
The Evil Within 2 ,https://static-cdn.jtvnw.net/ttv-boxart/The%20Evil%20Within%202-285x380.jpg,https://www.amazon.com/Evil-Within-PlayStation-Standard-4/dp/B071WPL1L8/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516869199&sr=1-1&keywords=The+Evil+Within+2,Oct 13@ 2017,Tango Gameworks,Bethesda Softworks,PlayStation 4 PC Xbox One,Action-Adventure Survival,M,You are Detective Sebastian Castellanos and at your lowest point. But when given a chance to save your daughter@ you must enter a world filled with nightmares and discover the dark origins of a once-idyllic town to bring her back. Horrifying threats emerge from every corner as the world twists and warps around you. Will you face adversity head on with weapons and traps@ or sneak through the shadows to survive?
Destiny ,https://static-cdn.jtvnw.net/ttv-boxart/Destiny-285x380.jpg,https://www.amazon.com/Destiny-Collection-PlayStation-4-Standard/dp/B01K63R7HY/ref=sr_1_2?s=videogames&ie=UTF8&qid=1517027985&sr=1-2&keywords=destiny,Dec 5@ 2017,Bungie,Activision,PlayStation 4 PC Xbox One,Action-Shooter First-Person Arcade,T,"In Destiny you are a Guardian of the last city on Earth. You are able to wield incredible power. Explore the ancient ruins of our solar system, from the vast dunes of Mars to the lush jungles of Venus. Defeat EarthÍs enemies. Reclaim all that we have lost. Become legend. Embark on an epic action adventure with rich cinematic storytelling where you unravel the mysteries of our universe and reclaim what we lost at the fall of our Golden Age. The next evolution of the first-person action genre that promises to provide an unprecedented combination of storytelling, cooperative, competitive, and public gameplay, and personal activities that are all woven into an expansive, persistent online world. Venture out alone or join up with friends. The choice is yours.."
